Country,Species,Number of critically endangered indigenous species,Number of critically endangered species,Number of endangered indigenous species,Number of endangered species,Number of vulnerable indigenous species,Number of vulnerable species,Threatened indigenous species as % of indigenous spec.,Threatened species as % of known species,Total number of indigenous known species,Total number of indigenous threatened species,Total number of known species,Total number of threatened species
Czech Republic,Freshwater Fish,15.0,15.0,2.0,2.0,8.0,8.0,42.373,42.373,75.0,25.0,99.0,25.0
Czech Republic,Invertebrates,1014.0,1014.0,1173.0,1173.0,1339.0,1339.0,,10.151,32627.0,3526.0,32627.0,3526.0
Czech Republic,Lichens,136.0,136.0,186.0,186.0,247.0,247.0,37.287,37.287,1526.0,569.0,1526.0,569.0
Czech Republic,Mammals,10.0,10.0,1.0,1.0,4.0,4.0,16.304,16.304,92.0,15.0,95.0,15.0
Czech Republic,Mosses,70.0,70.0,88.0,88.0,93.0,93.0,28.139,28.139,892.0,251.0,892.0,251.0
Czech Republic,Reptiles,1.0,1.0,3.0,3.0,3.0,3.0,58.333,58.333,12.0,7.0,12.0,7.0
Czech Republic,Vascular plants,284.0,284.0,412.0,412.0,212.0,212.0,53.556,53.556,2256.0,908.0,2256.0,908.0
Denmark,Amphibians,1.0,1.0,4.0,4.0,1.0,1.0,6.667,6.667,15.0,5.0,15.0,5.0
Denmark,Birds,24.0,24.0,15.0,15.0,45.0,45.0,16.268,16.268,202.0,84.0,241.0,84.0
Denmark,Fish,3.0,3.0,3.0,3.0,2.0,2.0,,,135.0,8.0,238.0,8.0
Denmark,Freshwater Fish,2.0,2.0,,,6.0,6.0,22.222,14.545,36.0,8.0,55.0,8.0
Denmark,Invertebrates,104.0,104.0,179.0,179.0,319.0,319.0,,14.044,3904.0,602.0,4270.0,602.0
Denmark,Lichens,84.0,84.0,50.0,50.0,87.0,87.0,,44.231,993.0,221.0,1002.0,221.0
Denmark,Mammals,1.0,1.0,2.0,2.0,6.0,6.0,18.966,16.418,54.0,10.0,71.0,9.0
Denmark,Mosses,5.0,5.0,13.0,13.0,33.0,33.0,,,447.0,51.0,452.0,51.0
Denmark,Reptiles,,,,,1.0,1.0,,,8.0,1.0,8.0,1.0
Denmark,Vascular plants,33.0,33.0,101.0,101.0,28.0,28.0,9.75,4.022,1139.0,162.0,2918.0,162.0
Estonia,Amphibians,,,2.0,2.0,1.0,1.0,30.0,27.273,10.0,3.0,11.0,3.0
Estonia,Birds,23.0,23.0,31.0,31.0,41.0,41.0,43.779,40.598,217.0,95.0,234.0,95.0
Estonia,Fish,3.0,3.0,1.0,1.0,5.0,5.0,13.636,8.738,66.0,9.0,103.0,9.0
Estonia,Freshwater Fish,3.0,3.0,1.0,1.0,5.0,5.0,20.455,16.667,44.0,9.0,54.0,9.0
Estonia,Invertebrates,39.0,39.0,43.0,43.0,37.0,37.0,1.254,1.213,9489.0,119.0,9808.0,119.0
Estonia,Lichens,64.0,64.0,74.0,74.0,43.0,43.0,32.849,32.554,551.0,181.0,556.0,181.0
Estonia,Mammals,2.0,2.0,1.0,1.0,,,5.0,4.545,60.0,3.0,66.0,3.0
Estonia,Marine Fish,2.0,2.0,1.0,1.0,1.0,1.0,7.692,6.061,52.0,4.0,66.0,4.0
Estonia,Mosses,19.0,19.0,24.0,24.0,116.0,116.0,26.633,26.589,597.0,159.0,598.0,159.0
Estonia,Reptiles,,,1.0,1.0,1.0,1.0,40.0,40.0,5.0,2.0,5.0,2.0
Estonia,Vascular plants,35.0,35.0,67.0,67.0,102.0,102.0,15.596,10.134,1308.0,204.0,2013.0,204.0
Finland,Amphibians,,0.0,1.0,1.0,0.0,0.0,14.286,14.286,7.0,1.0,7.0,1.0
Finland,Birds,13.0,13.0,36.0,36.0,38.0,38.0,35.51,35.081,245.0,87.0,248.0,87.0
Finland,Freshwater Fish,4.0,4.0,3.0,3.0,5.0,5.0,17.391,17.391,69.0,12.0,69.0,12.0
Finland,Invertebrates,123.0,123.0,393.0,393.0,739.0,739.0,5.24,5.24,23950.0,1255.0,23950.0,1255.0
Finland,Lichens,63.0,63.0,81.0,81.0,124.0,124.0,16.813,16.813,1594.0,268.0,1594.0,268.0
Finland,Mammals,1.0,1.0,4.0,4.0,2.0,2.0,10.448,9.333,67.0,7.0,75.0,7.0
Finland,Mosses,37.0,37.0,70.0,70.0,76.0,76.0,20.516,20.516,892.0,183.0,892.0,183.0
Finland,Reptiles,,0.0,,0.0,1.0,1.0,20.0,20.0,5.0,1.0,5.0,1.0
Finland,Vascular plants,31.0,31.0,88.0,88.0,78.0,78.0,21.413,15.887,920.0,197.0,1240.0,197.0
France,Amphibians,,0.0,,3.0,,5.0,,22.857,,,35.0,8.0
France,Birds,16.0,16.0,30.0,33.0,46.0,58.0,32.394,27.366,284.0,92.0,396.0,107.0
France,Fish,,7.0,,11.0,,8.0,,15.951,,,163.0,26.0
France,Freshwater Fish,,4.0,,6.0,,5.0,,18.75,,,80.0,15.0
France,Invertebrates,,18.0,,22.0,,179.0,,20.66,,,1060.0,219.0
France,Mammals,,3.0,,4.0,,10.0,,13.6,,,125.0,17.0
France,Marine Fish,,3.0,,5.0,,3.0,,,,,83.0,11.0
France,Reptiles,,0.0,,3.0,,6.0,,23.684,,,38.0,9.0
France,Vascular plants,,51.0,,132.0,,238.0,,8.45,,,4982.0,421.0
Germany,Amphibians,0.0,0.0,2.0,2.0,6.0,6.0,40.0,36.364,20.0,8.0,22.0,8.0
Germany,Birds,30.0,30.0,24.0,24.0,40.0,40.0,38.525,35.606,260.0,94.0,280.0,94.0
Germany,Fish,12.0,12.0,14.0,14.0,23.0,23.0,28.488,26.344,183.0,49.0,197.0,49.0
Germany,Freshwater Fish,8.0,8.0,9.0,9.0,11.0,11.0,35.443,30.108,89.0,28.0,103.0,28.0
Germany,Invertebrates,559.0,559.0,1010.0,1010.0,2183.0,2183.0,36.921,36.593,10256.0,3752.0,10434.0,3752.0
Germany,Lichens,337.0,337.0,169.0,169.0,546.0,546.0,51.672,51.672,2380.0,1052.0,2380.0,1052.0
Germany,Mammals,7.0,7.0,10.0,10.0,22.0,22.0,37.647,34.409,98.0,39.0,107.0,39.0
Germany,Marine Fish,4.0,4.0,5.0,5.0,12.0,12.0,22.581,22.581,94.0,21.0,94.0,21.0
Germany,Mosses,45.0,45.0,114.0,114.0,250.0,250.0,40.946,40.946,1189.0,409.0,1195.0,409.0
